title,author,average_rating,language_code,num-pages,ratings_count,text_reviews_count,publisher,genres,years,author_birthplace,author_birthdate,author_gender
No Dominion (Joe Pitt  #2),Charlie_Huston,3.99,eng,251,4698,202,Del Rey,Horror,2006,"Oakland, California, U.S.",An error occurred: list index out of range,mostly_male
A Clockwork Orange,Anthony_Burgess,3.99,eng,159,5366,524,Penguin Classics,Horror,2000,"Harpurhey, Manchester, England, Great Britain",1917,male
A Clockwork Orange,Anthony_Burgess,3.99,eng,149,1422,124,Penguin Books,Horror,1998,"Harpurhey, Manchester, England, Great Britain",1917,male
World War Z: An Oral History of the Zombie War,Max_Brooks,4.01,eng,342,370331,20582,Crown,Horror,2006,"New York City, U.S.",1972,male
The Lake of Souls (Cirque du Freak #10),Darren_Shan,4.18,eng,272,18536,350,Little  Brown Books for Young Readers,Horror,2006,"Lambeth, London, England",1972,male
Vampire Mountain (Cirque Du Freak  #4),Darren_Shan,4.16,eng,208,26461,587,Little  Brown Young Readers,Horror,2003,"Lambeth, London, England",1972,male
Trials of Death (Cirque Du Freak  #5),Darren_Shan,4.25,eng,202,24590,525,Little  Brown Books for Young Readers,Horror,2008,"Lambeth, London, England",1972,male
The Long Walk,Richard_Bachman,4.11,eng,370,94303,4453,Signet,Horror,1999,Birthplace information not found,Birthyear information not found,male
The Picture of Dorian Gray,Oscar_Wilde,4.08,eng,229,1089,78,Oxford University Press  USA,Horror,2006,"Dublin, Ireland",1854,male
Pet Sematary,Stephen_King,3.98,eng,576,257466,3768,Pocket Books,Horror,2005,"Portland, Maine, U.S.",1947,male
Black House (The Talisman  #2),Stephen_King,4.01,eng,688,46428,1220,Ballantine Books,Horror,2003,"Portland, Maine, U.S.",1947,male
Misery,Stephen_King,4.16,eng,370,429510,7051,New English Library,Horror,1988,"Portland, Maine, U.S.",1947,male
Carrie,Stephen_King,3.96,eng,253,2707,192,Pocket Books,Horror,1999,"Portland, Maine, U.S.",1947,male
Summer of Night (Seasons of Horror  #1),Dan_Simmons,4.02,eng,600,16116,894,Warner Books,Horror,1992,"Peoria, Illinois, U.S.",1948,male
Carrion Comfort,Dan_Simmons,3.9,eng,884,15742,714,Warner Books,Horror,1990,"Peoria, Illinois, U.S.",1948,male
Mine,Robert_R._Mc._Cammon,3.9,en-GB,496,9111,231,Pocket Books,Horror,1991,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
Gone South,Robert_R._Mc._Cammon,3.93,eng,400,4849,228,Pocket Books,Horror,1993,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
Usher's Passing,Robert_R._Mc._Cammon,3.92,eng,416,3226,143,Pocket Books,Horror,1992,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
